month,categories,title,link,event_date,description
5,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
6,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
7,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
8,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
9,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
10,"ARTS + CULTURE,, ENTERTAINMENT",La Bohème,https://downtownpittsburgh.com/events/event/?id=62502,"Oct 26, 2025 | 2:00 pm - 5:00 pm","ARTS + CULTURE, ENTERTAINMENT


When a candle flickers, love sparks. Set against the backdrop of 1830’s Paris,  follows four impoverished artists surviving with little more than friendship, passion, and their love for art."
10,"ARTS + CULTURE,, ENTERTAINMENT",La Bohème,https://downtownpittsburgh.com/events/event/?id=62501,"Oct 24, 2025 | 7:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT


When a candle flickers, love sparks. Set against the backdrop of 1830’s Paris,  follows four impoverished artists surviving with little more than friendship, passion, and their love for art."
10,"ARTS + CULTURE,, ENTERTAINMENT",La Bohème,https://downtownpittsburgh.com/events/event/?id=62500,"Oct 23, 2025 | 10:30 am - 1:30 pm","ARTS + CULTURE, ENTERTAINMENT


When a candle flickers, love sparks. Set against the backdrop of 1830’s Paris,  follows four impoverished artists surviving with little more than friendship, passion, and their love for art."
10,"ARTS + CULTURE,, ENTERTAINMENT",La Bohème,https://downtownpittsburgh.com/events/event/?id=62499,"Oct 21, 2025 | 7:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT


When a candle flickers, love sparks. Set against the backdrop of 1830’s Paris,  follows four impoverished artists surviving with little more than friendship, passion, and their love for art."
10,"ARTS + CULTURE,, ENTERTAINMENT",La Bohème,https://downtownpittsburgh.com/events/event/?id=62498,"Oct 18, 2025 | 7:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT


When a candle flickers, love sparks. Set against the backdrop of 1830’s Paris,  follows four impoverished artists surviving with little more than friendship, passion, and their love for art."
10,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
11,"ARTS + CULTURE,, ENTERTAINMENT",Fellow Travelers,https://downtownpittsburgh.com/events/event/?id=62505,"Nov 16, 2025 | 2:00 pm - 5:00 pm","ARTS + CULTURE, ENTERTAINMENT


The Red Scare, tinted lavender."
11,"ARTS + CULTURE,, ENTERTAINMENT",Fellow Travelers,https://downtownpittsburgh.com/events/event/?id=62504,"Nov 15, 2025 | 7:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT


The Red Scare, tinted lavender."
11,"ARTS + CULTURE,, ENTERTAINMENT",Fellow Travelers,https://downtownpittsburgh.com/events/event/?id=62503,"Nov 14, 2025 | 7:00 pm - 10:00 pm","ARTS + CULTURE, ENTERTAINMENT


The Red Scare, tinted lavender."
11,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
12,"ENTERTAINMENT,, NIGHTLIFE,, TOURS",Comedy Bus Tour,https://downtownpittsburgh.com/events/event/?id=62069,"Jan 31, 2025 - Dec 31, 2025 | 7:00 pm - 8:30 pm","ENTERTAINMENT, NIGHTLIFE, TOURS


Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!"
