page_date,location,start_time,end_time,title,event_link,summary,image_url
20250320,,,,Ostara,https://events.cmu.edu/event/12503-ostara,,
20250320,,,,Ramadan,https://events.cmu.edu/event/12496-ramadan,,
20250320,,,,Women’s History Month,https://events.cmu.edu/event/12519-womens-history-month,,"https://events.cmu.edu/live/image/gid/9/width/200/height/200/crop/1/src_region/0,0,1200,1200/286_UCM-HM24_Womens-History-Month_Web-1200x1200.rev.1731418872.jpg"
20250321,"Hunt Institute for Botanical Documentation, Hunt L...",9 a.m.,5 p.m.,Uncommon Perfection: Illustrations by Derek Norman,https://events.cmu.edu/event/13601-uncommon-perfection-illustrations-by-derek-norman,"In celebration of the recent acquisition of over 200 artworks by Derek Norman, this exhibition highlights work created over the last three decades and reflects his lifelong interest in the beauty of nature.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,28,400,428/498_hibd-norman-bluebells.rev.1740000919.jpg"
20250321,Online,10,11:15 a.m.,Re-envisioning the Classroom for Neurodiversity,https://events.cmu.edu/event/13467-re-envisioning-the-classroom-for-neurodiversity,"This is the second workshop in the Neuroinclusive Teaching Series, a joint collaboration between Carnegie Mellon University and the University of Pittsburgh.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,576,576/463_EberlySquare_1.rev.1738595216.png"
20250321,Online,Noon,12:30 p.m.,"Libraries Workshop: Breathe, Reset, and Connect with Your Heart",https://events.cmu.edu/event/13099-libraries-workshop-breathe-reset-and-connect-with-your,"Need a break from all the screen time? Join us for a rejuvenating 30-minute workshop focused on connecting your breath, body and mind.","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,1080,1080/400_UNIVERSITY_LIBRARIES_WORKSHOPS_6.rev.1736799434.png"
20250321,Gates & Hillman Centers 8102,3,4:30 p.m.,AI-SDM Seminar: Terri Adams,https://events.cmu.edu/event/13437-ai-sdm-seminar-terri-adams,The AI Institute for Societal Decision Making (AI-SDM) invites you to engage in an intellectual discourse through our biweekly seminar series.,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,900,900/454_AI-SDM-logo-final.rev.1738348001.png"
20250321,"Well-Being Lab, Highmark Center for Health, Wellne...",4,5 p.m.,Snackified and Cozy Study Jams!,https://events.cmu.edu/event/13457-snackified-and-cozy-study-jams,,"https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,1920,1280/460_pexels-almapapi-2396108.rev.1738594344.jpg"
20250321,Virtual via Zoom,4,5:15 p.m.,Black Women’s Support Group (Graduate Students),https://events.cmu.edu/event/13296-black-womens-support-group-graduate-students,"A supportive, virtual space for students who identify as Black women, facilitated by Black female therapists.","https://events.cmu.edu/live/image/gid/6/width/200/height/200/crop/1/src_region/0,0,600,600/407_CaPS_Calendar_Ombre.rev.1736801401.png"
20250321,"Helen Wayne Rauh Studio Theater, Purnell Center fo...",8 p.m.,,CMU Drama Presents: The Inseparables,https://events.cmu.edu/event/12757-cmu-drama-presents-the-inseparables,Puppets. Pool noodles. Putting on a play!,"https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,630,912/300_The_Inseparables.rev.1731958523.jpg"
20250321,,,,(Men’s Tennis) St. Francis (Pa.) vs. Carnegie Mellon,https://events.cmu.edu/event/11810-mens-tennis-st-francis-pa-vs-carnegie-mellon,,"https://events.cmu.edu/live/image/gid/4/width/200/height/200/crop/1/src_region/0,0,400,400/27_cmu-athletics.rev.1717011793.png"
20250321,"Belonging Center, A-Level of ANSYS Hall",,,EDIE Makeathon,https://events.cmu.edu/event/13662-edie-makeathon,"Looking for a way to grow your entrepreneurial skills, professional network and resume? Apply and join the EDIE Makeathon!","https://events.cmu.edu/live/image/gid/3/width/200/height/200/crop/1/src_region/0,0,2000,2000/519_EDIE_Makeathon_Spring_2025_Square.rev.1740604648.png"
