month,day,year,name,location,link
Apr,26,2025,Shen Yun,Benedum Center,https://pittsburgh.events/tickets/shen-yun/
Apr,26,2025,Monster Energy AMA Supercross,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/monster-energy-ama-supercross/
Apr,26,2025,John Waite,City Winery Pittsburgh,https://pittsburgh.events/tickets/john-waite/
Apr,26,2025,Brahms & Beethoven,Heinz Hall,https://pittsburgh.events/tickets/brahms-beethoven/
Apr,27,2025,Sofia Isella,Spirit Hall,https://pittsburgh.events/tickets/sofia-isella/
Apr,29,2025,Chicago Cubs,PNC Park,https://pittsburgh.events/tickets/chicago-cubs/
Apr,29,2025,Bullet for My Valentine,Stage AE,https://pittsburgh.events/tickets/bullet-for-my-valentine/
Apr,29,2025,Trivium,Stage AE,https://pittsburgh.events/tickets/trivium/
Apr,29,2025,The Michigan Rattlers,Crafthouse Stage & Grill,https://pittsburgh.events/tickets/the-michigan-rattlers/
May,01,2025,Chicago Cubs,PNC Park,https://pittsburgh.events/tickets/chicago-cubs/
May,01,2025,Stavros Halkias,Benedum Center,https://pittsburgh.events/tickets/stavros-halkias/
May,01,2025,Howie Day,City Winery Pittsburgh,https://pittsburgh.events/tickets/howie-day/
May,02,2025,San Diego Padres,PNC Park,https://pittsburgh.events/tickets/san-diego-padres/
May,02,2025,Come from Away,Benedum Center,https://pittsburgh.events/tickets/come-from-away/
May,03,2025,California Guitar Trio,Pittsburgh Winery,https://pittsburgh.events/tickets/california-guitar-trio/
May,03,2025,Guitar Trio,City Winery Pittsburgh,https://pittsburgh.events/tickets/guitar-trio/
May,03,2025,North Carolina FC,Highmark Stadium (Pittsburgh),https://pittsburgh.events/tickets/north-carolina-fc/
May,03,2025,Trixie Mattel,Stage AE,https://pittsburgh.events/tickets/trixie-mattel/
May,04,2025,Micky Dolenz,City Winery Pittsburgh,https://pittsburgh.events/tickets/micky-dolenz/
May,04,2025,Nada Surf,Spirit Hall,https://pittsburgh.events/tickets/nada-surf/
May,04,2025,Bruce Hornsby,Byham Theater,https://pittsburgh.events/tickets/bruce-hornsby/
May,04,2025,Deep Sea Diver,Cafe at Thunderbird Cafe & Music Hall,https://pittsburgh.events/tickets/deep-sea-diver/
May,04,2025,Fortune Feimster,Carnegie of Homestead Music Hall,https://pittsburgh.events/tickets/fortune-feimster/
May,05,2025,TommyInnit,Stage AE,https://pittsburgh.events/tickets/tommyinnit/
May,07,2025,Malandain Ballet Biarritz,Byham Theater,https://pittsburgh.events/tickets/malandain-ballet-biarritz/
May,08,2025,The Pretty Reckless,Acrisure Stadium (formerly Heinz Field),https://pittsburgh.events/tickets/the-pretty-reckless/
May,08,2025,Adrienne Iapalucci,Pittsburgh Improv,https://pittsburgh.events/tickets/adrienne-iapalucci/
May,09,2025,Atlanta Braves,PNC Park,https://pittsburgh.events/tickets/atlanta-braves/
May,09,2025,Trevor Wallace,Byham Theater,https://pittsburgh.events/tickets/trevor-wallace/
May,09,2025,Casey Rocket,Pittsburgh Improv,https://pittsburgh.events/tickets/casey-rocket/
May,09,2025,Hard Work and Holy Water Tour,Stage AE,https://pittsburgh.events/tickets/hard-work-and-holy-water-tour/
May,09,2025,sammy rash,Sunken Bus Studios,https://pittsburgh.events/tickets/sammy-rash/
May,09,2025,Cheekface,Bottlerocket Social Hall,https://pittsburgh.events/tickets/cheekface/
May,14,2025,360 Allstars,Byham Theater,https://pittsburgh.events/tickets/360-allstars/
May,15,2025,Relapse Tour,Stage AE,https://pittsburgh.events/tickets/relapse-tour/
May,16,2025,Chad Daniels,Pittsburgh Improv,https://pittsburgh.events/tickets/chad-daniels/
May,16,2025,Pearl Jam,PPG Paints Arena,https://pittsburgh.events/tickets/pearl-jam/
May,16,2025,Bruce Cockburn,City Winery Pittsburgh,https://pittsburgh.events/tickets/bruce-cockburn/
May,17,2025,Five For Fighting,City Winery Pittsburgh,https://pittsburgh.events/tickets/five-for-fighting/
May,18,2025,Pittsburgh Symphony Orchestra,Heinz Hall,https://pittsburgh.events/tickets/pittsburgh-symphony-orchestra/
May,19,2025,Cincinnati Reds,PNC Park,https://pittsburgh.events/tickets/cincinnati-reds/
May,20,2025,Mayday Parade,Stage AE,https://pittsburgh.events/tickets/mayday-parade/
