title,event_link,event_date,location,image_url
DC - Washington Wizards vs. Orlando Magic and Post-Game Concert with Shaquille O'Neal,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/dc-washington-wizards-vs-orlando-magic-and-post-game-concert-with-shaquille-o-neal,"March 21, 2025","WASHINGTON, DC",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394333/WashingtonWizards800x600.jpg
PIT - Live Music & Happy Hour at Kingfly,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-live-music-happy-hour-at-kingfly,"March 23, 2025","PITTSBURGH, PA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394971/pit_kingfly_800x600.jpg
PIT - Night at the Opera: Madama Butterfly,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-night-at-the-opera-madama-butterfly,"March 25, 2025","PITTSBURGH, PA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394691/pit_opera_800x600.jpg
Faculty Dialogue: Revolutionizing Brain Injury Care: Noninvasive Solutions for Diagnosis and Treatment,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/faculty-dialogue-revolutionizing-brain-injury-care-noninvasive-solutions-for-diagnosis-and-treatment,"March 05, 2025","VIRTUAL WEBINAR, ONLINE",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394464/FacultyDialogues_FBPost_800x600.png
"Faculty Dialogue: Sitting with Discomfort: Mindfulness, Equanimity and Health Featuring David Creswell",https://www.givecampus.com/schools/CarnegieMellonUniversity/events/faculty-dialogue-sitting-with-discomfort-mindfulness-equanimity-and-health-featuring-david-creswell,"March 05, 2025","AUSTIN, TX",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394461/FacultyDialogue_Dinner_DavidCreswellAustin_800x600_01_ACE-25-123.jpg
PHL - Women’s History Month Dinner in Philly,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/phl-women-s-history-month-dinner-in-philly,"March 10, 2025","PHILADELPHIA, PA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394967/phl_womens_history_month.jpg
PIT - CMU Night at the Penguins,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-cmu-night-at-the-penguins,"March 13, 2025","PITTSBURGH, PA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16393040/CMUNightPenguins_800x600.jpg
SD - San Diego Clippers vs. Mexico City (Basketball Game),https://www.givecampus.com/schools/CarnegieMellonUniversity/events/sd-san-diego-clippers-vs-mexico-city-basketball-game,"March 14, 2025","OCEANSIDE, CA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394664/2_800x600.jpg
BOS - CMU Boston Pi Day,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/bos-cmu-boston-pi-day,"March 16, 2025","CAMBRIDGE, MA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394969/bos_pi_day_800x600.jpg
PIT - Pizza Party at Alumni House,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-pizza-party-at-alumni-house,"March 17, 2025","PITTSBURGH, PA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394838/pit_pizza_800x600.jpg
PIT - Trivia Night at Over the Bar Bicycle Cafe,https://www.givecampus.com/schools/CarnegieMellonUniversity/events/pit-trivia-night-at-over-the-bar-bicycle-cafe,"March 18, 2025","BRIDGEVILLE, PA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16395040/pit_bike800x600.jpg
"Faculty Dialogues: Sitting with Discomfort: Mindfulness, Equanimity and Health Featuring David Creswell in Seattle",https://www.givecampus.com/schools/CarnegieMellonUniversity/events/faculty-dialogues-sitting-with-discomfort-mindfulness-equanimity-and-health-featuring-david-creswell-in-seattle,"March 18, 2025","SEATTLE, WA",https://givecampus.s3-accelerate.amazonaws.com/uploads/school/CarnegieMellonUniversity/events/16394921/FacultyDialogue_Dinner_DavidCreswellAustin_800x600_01_ACE-25-123.jpg
